,Chapter,Leftname,Rightname,chaptername,chaptertitle,start,end,context,artical
0,第一回,甄士隐梦幻识通灵,贾雨村风尘怀闺秀,1,"甄士隐梦幻识通灵,贾雨村风尘怀闺秀",0,33.0,33.0,artical
1,第二回,贾夫人仙逝扬州城,冷子兴演说荣国府,2,"贾夫人仙逝扬州城,冷子兴演说荣国府",34,46.0,12.0,artical
2,第三回,托内兄如海酬训教,接外孙贾母惜孤女,3,"托内兄如海酬训教,接外孙贾母惜孤女",47,59.0,12.0,artical
3,第四回,薄命女偏逢薄命郎,葫芦僧乱判葫芦案,4,"薄命女偏逢薄命郎,葫芦僧乱判葫芦案",60,69.0,9.0,artical
4,第五回,游幻境指迷十二钗,饮仙醪曲演红楼梦,5,"游幻境指迷十二钗,饮仙醪曲演红楼梦",70,131.0,61.0,artical
5,第六回,贾宝玉初试云雨情,刘姥姥一进荣国府,6,"贾宝玉初试云雨情,刘姥姥一进荣国府",132,140.0,8.0,artical
6,第七回,送宫花贾琏戏熙凤,宴宁府宝玉会秦钟,7,"送宫花贾琏戏熙凤,宴宁府宝玉会秦钟",141,149.0,8.0,artical
7,第八回,比通灵金莺微露意,探宝钗黛玉半含酸,8,"比通灵金莺微露意,探宝钗黛玉半含酸",150,165.0,15.0,artical
8,第九回,恋风流情友入家塾,起嫌疑顽童闹学堂,9,"恋风流情友入家塾,起嫌疑顽童闹学堂",166,169.0,3.0,artical
9,第十回,金寡妇贪利权受辱,张太医论病细穷源,10,"金寡妇贪利权受辱,张太医论病细穷源",170,190.0,20.0,artical
10,第十一回,庆寿辰宁府排家宴,见熙凤贾瑞起淫心,11,"庆寿辰宁府排家宴,见熙凤贾瑞起淫心",191,197.0,6.0,artical
11,第十二回,王熙凤毒设相思局,贾天祥正照,12,"王熙凤毒设相思局,贾天祥正照",198,203.0,5.0,artical
12,第十三回,秦可卿死封龙禁尉,王熙凤协理宁国府,13,"秦可卿死封龙禁尉,王熙凤协理宁国府",204,211.0,7.0,artical
13,第十四回,林如海捐馆扬州城,贾宝玉路谒北静王,14,"林如海捐馆扬州城,贾宝玉路谒北静王",212,217.0,5.0,artical
14,第十五回,王凤姐弄权铁槛寺,秦鲸卿得趣馒头庵,15,"王凤姐弄权铁槛寺,秦鲸卿得趣馒头庵",218,224.0,6.0,artical
15,第十六回,贾元春才选凤藻宫,秦鲸卿夭逝黄泉路,16,"贾元春才选凤藻宫,秦鲸卿夭逝黄泉路",225,232.0,7.0,artical
16,第十七回,大观园试才题对额,荣国府归省庆元宵,17,"大观园试才题对额,荣国府归省庆元宵",233,251.0,18.0,artical
17,第十八回,隔珠帘父女勉忠勤,搦湘管姊弟裁题咏,18,"隔珠帘父女勉忠勤,搦湘管姊弟裁题咏",252,318.0,66.0,artical
18,第十九回,情切切良宵花解语,意绵绵静日玉生香,19,"情切切良宵花解语,意绵绵静日玉生香",319,323.0,4.0,artical
19,第二十回,王熙凤正言弹妒意,林黛玉俏语谑娇音,20,"王熙凤正言弹妒意,林黛玉俏语谑娇音",324,327.0,3.0,artical
20,第二十一回,贤袭人娇嗔箴宝玉,俏平儿软语救贾琏,21,"贤袭人娇嗔箴宝玉,俏平儿软语救贾琏",328,334.0,6.0,artical
21,第二十二回,听曲文宝玉悟禅机,制灯谜贾政悲谶语,22,"听曲文宝玉悟禅机,制灯谜贾政悲谶语",335,365.0,30.0,artical
22,第二十三回,西厢记妙词通戏语,牡丹亭艳曲警芳心,23,"西厢记妙词通戏语,牡丹亭艳曲警芳心",366,392.0,26.0,artical
23,第二十四回,醉金刚轻财尚义侠,痴女儿遗帕惹相思,24,"醉金刚轻财尚义侠,痴女儿遗帕惹相思",393,398.0,5.0,artical
24,第二十五回,魇魔法叔嫂逢五鬼,红楼梦通灵遇双真,25,"魇魔法叔嫂逢五鬼,红楼梦通灵遇双真",399,416.0,17.0,artical
25,第二十六回,蜂腰桥设言传密意,馆春困发幽情,26,"蜂腰桥设言传密意,馆春困发幽情",417,425.0,8.0,artical
26,第二十七回,滴翠亭杨妃戏彩蝶,埋香冢飞燕泣残红,27,"滴翠亭杨妃戏彩蝶,埋香冢飞燕泣残红",426,457.0,31.0,artical
27,第二十八回,蒋玉菡情赠茜香罗,薛宝钗羞笼红麝串,28,"蒋玉菡情赠茜香罗,薛宝钗羞笼红麝串",458,514.0,56.0,artical
28,第二十九回,享福人福深还祷福,痴情女情重愈斟情,29,"享福人福深还祷福,痴情女情重愈斟情",515,520.0,5.0,artical
29,第三十回,宝钗借扇机带双敲,龄官划蔷痴及局外,30,"宝钗借扇机带双敲,龄官划蔷痴及局外",521,526.0,5.0,artical
30,第三十一回,撕扇子作千金一笑,因麒麟伏白首双星,31,"撕扇子作千金一笑,因麒麟伏白首双星",527,531.0,4.0,artical
31,第三十二回,诉肺腑心迷活宝玉,含耻辱情烈死金钏,32,"诉肺腑心迷活宝玉,含耻辱情烈死金钏",532,536.0,4.0,artical
32,第三十三回,手足眈眈小动唇舌,不肖种种大承笞挞,33,"手足眈眈小动唇舌,不肖种种大承笞挞",537,540.0,3.0,artical
33,第三十四回,情中情因情感妹妹,错里错以错劝哥哥,34,"情中情因情感妹妹,错里错以错劝哥哥",541,555.0,14.0,artical
34,第三十五回,白玉钏亲尝莲叶羹,黄金莺巧结梅花络,35,"白玉钏亲尝莲叶羹,黄金莺巧结梅花络",556,562.0,6.0,artical
35,第三十六回,绣鸳鸯梦兆绛芸轩,识分定情悟梨香院,36,"绣鸳鸯梦兆绛芸轩,识分定情悟梨香院",563,569.0,6.0,artical
36,第三十七回,秋爽斋偶结海棠社,蘅芜苑夜拟菊花题,37,"秋爽斋偶结海棠社,蘅芜苑夜拟菊花题",570,614.0,44.0,artical
37,第三十八回,林魁夺菊花诗,薛蘅芜讽和螃蟹咏,38,"林魁夺菊花诗,薛蘅芜讽和螃蟹咏",615,697.0,82.0,artical
38,第三十九回,村姥姥是信口开河,情哥哥偏寻根究底,39,"村姥姥是信口开河,情哥哥偏寻根究底",698,701.0,3.0,artical
39,第四十回,史太君两宴大观园,金鸳鸯三宣牙牌令,40,"史太君两宴大观园,金鸳鸯三宣牙牌令",702,705.0,3.0,artical
40,第四十一回,贾宝玉品茶栊翠庵,刘姥姥醉卧怡红院,41,"贾宝玉品茶栊翠庵,刘姥姥醉卧怡红院",706,708.0,2.0,artical
41,第四十二回,蘅芜君兰言解疑癖,子雅谑补馀香,42,"蘅芜君兰言解疑癖,子雅谑补馀香",709,714.0,5.0,artical
42,第四十三回,闲取乐偶攒金庆寿,不了情暂撮土为香,43,"闲取乐偶攒金庆寿,不了情暂撮土为香",715,718.0,3.0,artical
43,第四十四回,变生不测凤姐泼醋,喜出望外平儿理妆,44,"变生不测凤姐泼醋,喜出望外平儿理妆",719,723.0,4.0,artical
44,第四十五回,金兰契互剖金兰语,风雨夕闷制风雨词,45,"金兰契互剖金兰语,风雨夕闷制风雨词",724,738.0,14.0,artical
45,第四十六回,尴尬人难免尴尬事,鸳鸯女誓绝鸳鸯偶,46,"尴尬人难免尴尬事,鸳鸯女誓绝鸳鸯偶",739,744.0,5.0,artical
46,第四十七回,呆霸王调情遭苦打,冷郎君惧祸走他乡,47,"呆霸王调情遭苦打,冷郎君惧祸走他乡",745,749.0,4.0,artical
47,第四十八回,滥情人情误思游艺,慕雅女雅集苦吟诗,48,"滥情人情误思游艺,慕雅女雅集苦吟诗",750,773.0,23.0,artical
48,第四十九回,琉璃世界白雪红梅,脂粉香娃割腥啖膻,49,"琉璃世界白雪红梅,脂粉香娃割腥啖膻",774,783.0,9.0,artical
49,第五十回,芦雪庵争联即景诗,暖香坞雅制春灯谜,50,"芦雪庵争联即景诗,暖香坞雅制春灯谜",784,913.0,129.0,artical
50,第五十一回,薛小妹新编怀古诗,胡庸医乱用虎狼药,51,"薛小妹新编怀古诗,胡庸医乱用虎狼药",914,949.0,35.0,artical
51,第五十二回,俏平儿情掩虾须镯,勇晴雯病补雀金裘,52,"俏平儿情掩虾须镯,勇晴雯病补雀金裘",950,961.0,11.0,artical
52,第五十三回,宁国府除夕祭宗祠,荣国府元宵开夜宴,53,"宁国府除夕祭宗祠,荣国府元宵开夜宴",962,971.0,9.0,artical
53,第五十四回,史太君破陈腐旧套,王熙凤效戏彩斑衣,54,"史太君破陈腐旧套,王熙凤效戏彩斑衣",972,977.0,5.0,artical
54,第五十五回,辱亲女愚妾争闲气,欺幼主刁奴蓄险心,55,"辱亲女愚妾争闲气,欺幼主刁奴蓄险心",978,982.0,4.0,artical
55,第五十六回,敏探春兴利除宿弊,识宝钗小惠全大体,56,"敏探春兴利除宿弊,识宝钗小惠全大体",983,986.0,3.0,artical
56,第五十七回,慧紫鹃情辞试忙玉,慈姨妈爱语慰痴颦,57,"慧紫鹃情辞试忙玉,慈姨妈爱语慰痴颦",987,994.0,7.0,artical
57,第五十八回,杏子阴假凤泣虚凰,茜纱窗真情揆痴理,58,"杏子阴假凤泣虚凰,茜纱窗真情揆痴理",995,1001.0,6.0,artical
58,第五十九回,柳叶渚边嗔莺咤燕,绛芸轩里召将飞符,59,"柳叶渚边嗔莺咤燕,绛芸轩里召将飞符",1002,1004.0,2.0,artical
59,第六十回,茉莉粉替去蔷薇硝,玫瑰露引来茯苓霜,60,"茉莉粉替去蔷薇硝,玫瑰露引来茯苓霜",1005,1009.0,4.0,artical
60,第六十一回,投鼠忌器宝玉瞒赃,判冤决狱平儿行权,61,"投鼠忌器宝玉瞒赃,判冤决狱平儿行权",1010,1013.0,3.0,artical
61,第六十二回,憨湘云醉眠芍药P,呆香菱情解石榴裙,62,"憨湘云醉眠芍药P,呆香菱情解石榴裙",1014,1033.0,19.0,artical
62,第六十三回,寿怡红群芳开夜宴,死金丹独艳理亲丧,63,"寿怡红群芳开夜宴,死金丹独艳理亲丧",1034,1061.0,27.0,artical
63,第六十四回,幽淑女悲题五美吟,浪荡子情遗九龙佩,64,"幽淑女悲题五美吟,浪荡子情遗九龙佩",1062,1085.0,23.0,artical
64,第六十五回,贾二舍偷娶尤二姨,尤三姐思嫁柳二郎,65,"贾二舍偷娶尤二姨,尤三姐思嫁柳二郎",1086,1091.0,5.0,artical
65,第六十六回,情小妹耻情归地府,冷二郎一冷入空门,66,"情小妹耻情归地府,冷二郎一冷入空门",1092,1096.0,4.0,artical
66,第六十七回,见土仪颦卿思故里,闻秘事凤姐讯家童,67,"见土仪颦卿思故里,闻秘事凤姐讯家童",1097,1107.0,10.0,artical
67,第六十八回,苦尤娘赚入大观园,酸凤姐大闹宁国府,68,"苦尤娘赚入大观园,酸凤姐大闹宁国府",1108,1111.0,3.0,artical
68,第六十九回,弄小巧用借剑杀人,觉大限吞生金自逝,69,"弄小巧用借剑杀人,觉大限吞生金自逝",1112,1117.0,5.0,artical
69,第七十回,林黛玉重建桃花社,史湘云偶填柳絮词,70,"林黛玉重建桃花社,史湘云偶填柳絮词",1118,1156.0,38.0,artical
70,第七十一回,嫌隙人有心生嫌隙,鸳鸯女无意遇鸳鸯,71,"嫌隙人有心生嫌隙,鸳鸯女无意遇鸳鸯",1157,1163.0,6.0,artical
71,第七十二回,王熙凤恃强羞说病,来旺妇倚势霸成亲,72,"王熙凤恃强羞说病,来旺妇倚势霸成亲",1164,1169.0,5.0,artical
72,第七十三回,痴丫头误拾绣春囊,懦小姐不问累金凤,73,"痴丫头误拾绣春囊,懦小姐不问累金凤",1170,1176.0,6.0,artical
73,第七十四回,惑奸谗抄检大观园,矢孤介杜绝宁国府,74,"惑奸谗抄检大观园,矢孤介杜绝宁国府",1177,1181.0,4.0,artical
74,第七十五回,开夜宴异兆发悲音,赏中秋新词得佳谶,75,"开夜宴异兆发悲音,赏中秋新词得佳谶",1182,1187.0,5.0,artical
75,第七十六回,凸碧堂品笛感凄清,凹晶馆联诗悲寂寞,76,"凸碧堂品笛感凄清,凹晶馆联诗悲寂寞",1188,1252.0,64.0,artical
76,第七十七回,俏丫鬟抱屈夭风流,美优伶斩情归水月,77,"俏丫鬟抱屈夭风流,美优伶斩情归水月",1253,1260.0,7.0,artical
77,第七十八回,老学士闲徵酱,痴公子杜撰芙蓉诔,78,"老学士闲徵酱,痴公子杜撰芙蓉诔",1261,1332.0,71.0,artical
78,第七十九回,薛文龙悔娶河东狮,贾迎春误嫁中山狼,79,"薛文龙悔娶河东狮,贾迎春误嫁中山狼",1333,1338.0,5.0,artical
79,第八十回,美香菱屈受贪夫棒,王道士胡诌妒妇方,80,"美香菱屈受贪夫棒,王道士胡诌妒妇方",1339,1343.0,4.0,artical
80,第八十一回,占旺相四美钓游鱼,奉严词两番入家塾,81,"占旺相四美钓游鱼,奉严词两番入家塾",1344,1349.0,5.0,artical
81,第八十二回,老学究讲义警顽心病痴魂惊恶梦,,82,,1350,1355.0,5.0,artical
82,第八十三回,省宫闱贾元妃染恙,闹闺阃薛宝钗吞声,83,"省宫闱贾元妃染恙,闹闺阃薛宝钗吞声",1356,1363.0,7.0,artical
83,第八十四回,试文字宝玉始提亲,探惊风贾环重结怨,84,"试文字宝玉始提亲,探惊风贾环重结怨",1364,1367.0,3.0,artical
84,第八十五回,贾存周报升郎中任,薛文起复惹放流刑,85,"贾存周报升郎中任,薛文起复惹放流刑",1368,1376.0,8.0,artical
85,第八十六回,受私贿老官翻案牍,寄闲情淑女解琴书,86,"受私贿老官翻案牍,寄闲情淑女解琴书",1377,1386.0,9.0,artical
86,第八十七回,感秋声抚琴悲往事,坐禅寂走火入邪魔,87,"感秋声抚琴悲往事,坐禅寂走火入邪魔",1387,1404.0,17.0,artical
87,第八十八回,博庭欢宝玉赞孤儿,正家法贾珍鞭悍仆,88,"博庭欢宝玉赞孤儿,正家法贾珍鞭悍仆",1405,1410.0,5.0,artical
88,第八十九回,人亡物在公子填词,蛇影杯弓颦卿绝粒,89,"人亡物在公子填词,蛇影杯弓颦卿绝粒",1411,1417.0,6.0,artical
89,第九十回,失绵衣贫女耐嗷嘈,送果品小郎惊叵测,90,"失绵衣贫女耐嗷嘈,送果品小郎惊叵测",1418,1424.0,6.0,artical
90,第九十一回,纵淫心宝蟾工设计,布疑阵宝玉妄谈禅,91,"纵淫心宝蟾工设计,布疑阵宝玉妄谈禅",1425,1432.0,7.0,artical
91,第九十二回,评女传巧姐慕贤良,顽母珠贾政参聚散,92,"评女传巧姐慕贤良,顽母珠贾政参聚散",1433,1436.0,3.0,artical
92,第九十三回,甄家仆投靠贾家门,水月庵掀翻风月案,93,"甄家仆投靠贾家门,水月庵掀翻风月案",1437,1446.0,9.0,artical
93,第九十四回,宴海棠贾母赏花妖,失宝玉通灵知奇祸,94,"宴海棠贾母赏花妖,失宝玉通灵知奇祸",1447,1460.0,13.0,artical
94,第九十五回,因讹成实元妃薨逝以假混真宝玉疯颠,,95,,1461,1469.0,8.0,artical
95,第九十六回,瞒消息凤姐设奇谋,泄机关颦儿迷本性,96,"瞒消息凤姐设奇谋,泄机关颦儿迷本性",1470,1473.0,3.0,artical
96,第九十七回,林黛玉焚稿断痴情,薛宝钗出闺成大礼,97,"林黛玉焚稿断痴情,薛宝钗出闺成大礼",1474,1479.0,5.0,artical
97,第九十八回,苦绛珠魂归离恨天,病神瑛泪洒相思地,98,"苦绛珠魂归离恨天,病神瑛泪洒相思地",1480,1485.0,5.0,artical
98,第九十九回,守官箴恶奴同破例,阅邸报老舅自担惊,99,"守官箴恶奴同破例,阅邸报老舅自担惊",1486,1494.0,8.0,artical
99,第一百回,破好事香菱结深恨,悲远嫁宝玉感离情,100,"破好事香菱结深恨,悲远嫁宝玉感离情",1495,1499.0,4.0,artical
100,第一百零一回,大观园月夜警幽魂,散花寺神签占异兆,101,"大观园月夜警幽魂,散花寺神签占异兆",1500,1508.0,8.0,artical
101,第一百零二回,宁国府骨肉病灾,大观园符水驱妖孽,102,"宁国府骨肉病灾,大观园符水驱妖孽",1509,1513.0,4.0,artical
102,第一百零三回,施毒计金桂自焚身,昧真禅雨村空遇旧,103,"施毒计金桂自焚身,昧真禅雨村空遇旧",1514,1516.0,2.0,artical
103,第一百零四回,醉金刚小鳅生大浪,痴公子馀痛触前情,104,"醉金刚小鳅生大浪,痴公子馀痛触前情",1517,1522.0,5.0,artical
104,第一百零五回,锦衣军查抄宁国府,骢马使弹劾平安州,105,"锦衣军查抄宁国府,骢马使弹劾平安州",1523,1526.0,3.0,artical
105,第一百零六回,王熙凤致祸抱羞惭,贾太君祷天消灾患,106,"王熙凤致祸抱羞惭,贾太君祷天消灾患",1527,1533.0,6.0,artical
106,第一百零七回,散馀资贾母明大义,复世职政老沐天恩,107,"散馀资贾母明大义,复世职政老沐天恩",1534,1539.0,5.0,artical
107,第一百零八回,强欢笑蘅芜庆生辰,死缠绵闻鬼哭,108,"强欢笑蘅芜庆生辰,死缠绵闻鬼哭",1540,1543.0,3.0,artical
108,第一百零九回,候芳魂五儿承错爱还孽债迎女返真元,,109,,1544,1550.0,6.0,artical
109,第一百一十回,史太君寿终归地府,王凤姐力诎失人心,110,"史太君寿终归地府,王凤姐力诎失人心",1551,1557.0,6.0,artical
110,第一百一十一回,鸳鸯女殉主登太虚,狗彘奴欺天招伙盗,111,"鸳鸯女殉主登太虚,狗彘奴欺天招伙盗",1558,1564.0,6.0,artical
111,第一百一十二回,活冤孽妙姑遭大劫,死雠仇赵妾赴冥曹,112,"活冤孽妙姑遭大劫,死雠仇赵妾赴冥曹",1565,1574.0,9.0,artical
112,第一百一十三回,忏宿冤凤姐托村妪,释旧憾情婢感痴郎,113,"忏宿冤凤姐托村妪,释旧憾情婢感痴郎",1575,1578.0,3.0,artical
113,第一百一十四回,王熙凤历幻返金陵,甄应嘉蒙恩还玉阙,114,"王熙凤历幻返金陵,甄应嘉蒙恩还玉阙",1579,1583.0,4.0,artical
114,第一百一十五回,惑偏私惜春矢素志,证同类宝玉失相知,115,"惑偏私惜春矢素志,证同类宝玉失相知",1584,1590.0,6.0,artical
115,第一百一十六回,得通灵幻境悟仙缘,送慈柩故乡全孝道,116,"得通灵幻境悟仙缘,送慈柩故乡全孝道",1591,1595.0,4.0,artical
116,第一百一十七回,阻超凡佳人双护玉,欣聚党恶子独承家,117,"阻超凡佳人双护玉,欣聚党恶子独承家",1596,1599.0,3.0,artical
117,第一百一十八回,记微嫌舅兄欺弱女,警谜语妻妾谏痴人,118,"记微嫌舅兄欺弱女,警谜语妻妾谏痴人",1600,1607.0,7.0,artical
118,第一百一十九回,中乡魁宝玉却尘缘,沐皇恩贾家延世泽,119,"中乡魁宝玉却尘缘,沐皇恩贾家延世泽",1608,1613.0,5.0,artical
119,第一百二十回,甄士隐详说太虚情,贾雨村归结红楼梦,120,"甄士隐详说太虚情,贾雨村归结红楼梦",1614,1626.0,12.0,artical
